id	exp	type	num_rob	timesteps
40	traffic	baseline	10	14170
41	traffic	baseline	10	13474
42	traffic	baseline	10	13472
43	traffic	baseline	10	13327
44	traffic	baseline	10	12898
45	traffic	baseline	10	14188
46	traffic	baseline	10	13913
47	traffic	baseline	10	13208
48	traffic	baseline	10	13451
49	traffic	baseline	10	14413
0	traffic	baseline	50	3438
1	traffic	baseline	50	3632
2	traffic	baseline	50	3781
3	traffic	baseline	50	3448
4	traffic	baseline	50	4500
5	traffic	baseline	50	3372
6	traffic	baseline	50	3918
7	traffic	baseline	50	3480
8	traffic	baseline	50	3571
9	traffic	baseline	50	3100
10	traffic	baseline	50	3797
11	traffic	baseline	50	3573
12	traffic	baseline	50	4234
13	traffic	baseline	50	3083
14	traffic	baseline	50	3791
15	traffic	baseline	50	3711
16	traffic	baseline	50	3427
17	traffic	baseline	50	3931
18	traffic	baseline	50	3226
19	traffic	baseline	50	3666
20	traffic	baseline	50	4270
21	traffic	baseline	50	3637
22	traffic	baseline	50	3987
23	traffic	baseline	50	3429
24	traffic	baseline	50	4223
25	traffic	baseline	50	3256
26	traffic	baseline	50	4077
27	traffic	baseline	50	3321
28	traffic	baseline	50	4211
29	traffic	baseline	50	3206
30	traffic	baseline	50	4104
31	traffic	baseline	50	3470
32	traffic	baseline	50	3128
33	traffic	baseline	50	3401
34	traffic	baseline	50	3379
35	traffic	baseline	50	3192
36	traffic	baseline	50	2992
37	traffic	baseline	50	4203
38	traffic	baseline	50	3532
39	traffic	baseline	50	3505
40	traffic	baseline	50	4032
41	traffic	baseline	50	3976
42	traffic	baseline	50	3538
43	traffic	baseline	50	3279
44	traffic	baseline	50	4975
45	traffic	baseline	50	3715
46	traffic	baseline	50	3540
47	traffic	baseline	50	3857
48	traffic	baseline	50	3159
49	traffic	baseline	50	4100
0	traffic	baseline	100	1979
1	traffic	baseline	100	1804
2	traffic	baseline	100	2047
3	traffic	baseline	100	2496
4	traffic	baseline	100	1989
5	traffic	baseline	100	2066
6	traffic	baseline	100	2071
7	traffic	baseline	100	2020
8	traffic	baseline	100	1853
9	traffic	baseline	100	1772
10	traffic	baseline	100	1702
11	traffic	baseline	100	2366
12	traffic	baseline	100	1672
13	traffic	baseline	100	2087
14	traffic	baseline	100	1888
15	traffic	baseline	100	1902
16	traffic	baseline	100	1726
17	traffic	baseline	100	2313
18	traffic	baseline	100	2441
19	traffic	baseline	100	2276
20	traffic	baseline	100	1889
21	traffic	baseline	100	1920
22	traffic	baseline	100	1979
23	traffic	baseline	100	1670
24	traffic	baseline	100	2097
25	traffic	baseline	100	1803
26	traffic	baseline	100	1891
27	traffic	baseline	100	2024
28	traffic	baseline	100	1472
29	traffic	baseline	100	1654
30	traffic	baseline	100	1920
31	traffic	baseline	100	1706
32	traffic	baseline	100	1843
33	traffic	baseline	100	1688
34	traffic	baseline	100	1695
35	traffic	baseline	100	1760
36	traffic	baseline	100	1749
37	traffic	baseline	100	1757
38	traffic	baseline	100	1980
39	traffic	baseline	100	1893
40	traffic	baseline	100	2242
41	traffic	baseline	100	2133
42	traffic	baseline	100	2425
43	traffic	baseline	100	1896
44	traffic	baseline	100	1928
45	traffic	baseline	100	2125
46	traffic	baseline	100	1805
47	traffic	baseline	100	1754
48	traffic	baseline	100	1732
49	traffic	baseline	100	1846
0	traffic	baseline	200	1842
1	traffic	baseline	200	1983
2	traffic	baseline	200	2061
3	traffic	baseline	200	2183
4	traffic	baseline	200	1868
5	traffic	baseline	200	1391
6	traffic	baseline	200	2112
7	traffic	baseline	200	1771
8	traffic	baseline	200	1990
9	traffic	baseline	200	1612
10	traffic	baseline	200	1619
11	traffic	baseline	200	1509
12	traffic	baseline	200	1822
13	traffic	baseline	200	1950
14	traffic	baseline	200	1491
15	traffic	baseline	200	2085
16	traffic	baseline	200	1539
17	traffic	baseline	200	1593
18	traffic	baseline	200	1404
19	traffic	baseline	200	1819
20	traffic	baseline	200	1808
21	traffic	baseline	200	1468
22	traffic	baseline	200	1743
23	traffic	baseline	200	1853
24	traffic	baseline	200	1724
25	traffic	baseline	200	1638
26	traffic	baseline	200	2084
27	traffic	baseline	200	1866
28	traffic	baseline	200	1862
29	traffic	baseline	200	1628
30	traffic	baseline	200	1786
31	traffic	baseline	200	1718
32	traffic	baseline	200	1854
33	traffic	baseline	200	1697
34	traffic	baseline	200	1576
35	traffic	baseline	200	1775
36	traffic	baseline	200	1678
37	traffic	baseline	200	1676
38	traffic	baseline	200	1560
39	traffic	baseline	200	2079
40	traffic	baseline	200	1690
41	traffic	baseline	200	1703
42	traffic	baseline	200	1866
43	traffic	baseline	200	1894
44	traffic	baseline	200	1449
45	traffic	baseline	200	1315
46	traffic	baseline	200	1550
47	traffic	baseline	200	1928
48	traffic	baseline	200	1846
49	traffic	baseline	200	1519
