id	exp	type	num_rob	timesteps
29	traffic	optimised	50	2542
30	traffic	optimised	50	2434
31	traffic	optimised	50	2477
32	traffic	optimised	50	2639
33	traffic	optimised	50	4299
34	traffic	optimised	50	2703
35	traffic	optimised	50	2477
36	traffic	optimised	50	2426
37	traffic	optimised	50	2592
38	traffic	optimised	50	2577
39	traffic	optimised	50	2566
40	traffic	optimised	50	2537
41	traffic	optimised	50	2511
42	traffic	optimised	50	2554
43	traffic	optimised	50	2582
44	traffic	optimised	50	2735
45	traffic	optimised	50	2530
46	traffic	optimised	50	2403
47	traffic	optimised	50	2668
48	traffic	optimised	50	2738
49	traffic	optimised	50	2711
0	traffic	optimised	100	2081
1	traffic	optimised	100	1711
2	traffic	optimised	100	1731
3	traffic	optimised	100	1720
4	traffic	optimised	100	1722
5	traffic	optimised	100	2923
6	traffic	optimised	100	1515
7	traffic	optimised	100	1607
8	traffic	optimised	100	1855
9	traffic	optimised	100	2067
10	traffic	optimised	100	2075
11	traffic	optimised	100	2105
12	traffic	optimised	100	1606
13	traffic	optimised	100	2028
14	traffic	optimised	100	1682
15	traffic	optimised	100	1573
16	traffic	optimised	100	1905
17	traffic	optimised	100	2001
18	traffic	optimised	100	1802
19	traffic	optimised	100	1655
20	traffic	optimised	100	2061
21	traffic	optimised	100	1863
22	traffic	optimised	100	1688
23	traffic	optimised	100	2192
24	traffic	optimised	100	1536
25	traffic	optimised	100	1903
26	traffic	optimised	100	1707
27	traffic	optimised	100	2105
28	traffic	optimised	100	1419
29	traffic	optimised	100	1686
30	traffic	optimised	100	1768
31	traffic	optimised	100	1825
32	traffic	optimised	100	2037
33	traffic	optimised	100	1636
34	traffic	optimised	100	1806
35	traffic	optimised	100	1841
36	traffic	optimised	100	1709
37	traffic	optimised	100	1966
38	traffic	optimised	100	1703
39	traffic	optimised	100	1748
40	traffic	optimised	100	1646
41	traffic	optimised	100	1648
42	traffic	optimised	100	1811
43	traffic	optimised	100	1957
44	traffic	optimised	100	1914
45	traffic	optimised	100	1660
46	traffic	optimised	100	1717
47	traffic	optimised	100	1574
48	traffic	optimised	100	1851
49	traffic	optimised	100	1826
0	traffic	optimised	200	1654
1	traffic	optimised	200	1565
2	traffic	optimised	200	1490
3	traffic	optimised	200	1485
4	traffic	optimised	200	1514
5	traffic	optimised	200	1589
6	traffic	optimised	200	1633
7	traffic	optimised	200	1564
8	traffic	optimised	200	1319
9	traffic	optimised	200	1983
10	traffic	optimised	200	1427
11	traffic	optimised	200	1334
12	traffic	optimised	200	1668
13	traffic	optimised	200	1444
14	traffic	optimised	200	1815
15	traffic	optimised	200	1668
16	traffic	optimised	200	1832
17	traffic	optimised	200	2247
18	traffic	optimised	200	1554
19	traffic	optimised	200	1760
20	traffic	optimised	200	1821
21	traffic	optimised	200	1552
22	traffic	optimised	200	1854
23	traffic	optimised	200	1485
24	traffic	optimised	200	1321
25	traffic	optimised	200	1880
26	traffic	optimised	200	1710
27	traffic	optimised	200	1510
28	traffic	optimised	200	1632
29	traffic	optimised	200	1924
30	traffic	optimised	200	1759
31	traffic	optimised	200	1872
32	traffic	optimised	200	1917
33	traffic	optimised	200	1614
34	traffic	optimised	200	1880
35	traffic	optimised	200	1680
36	traffic	optimised	200	1581
37	traffic	optimised	200	1536
38	traffic	optimised	200	1712
39	traffic	optimised	200	1409
40	traffic	optimised	200	1837
41	traffic	optimised	200	1539
42	traffic	optimised	200	1626
43	traffic	optimised	200	1599
44	traffic	optimised	200	1516
45	traffic	optimised	200	1734
46	traffic	optimised	200	2024
47	traffic	optimised	200	1218
48	traffic	optimised	200	1471
49	traffic	optimised	200	1711
