id	exp	type	num_rob	time	compu_time_total	compu_time_comms
38	acov	optimised	50	2074	1.5582176017761231	0.12565783977508546
39	acov	optimised	50	2087	1.4906123781204224	0.11536638736724854
40	acov	optimised	50	1983	1.2882203006744384	0.10398711681365967
41	acov	optimised	50	2144	1.3456572723388671	0.09424547672271728
42	acov	optimised	50	2020	1.3425268840789795	0.10609336853027344
43	acov	optimised	50	1932	1.0850815486907959	0.08479708671569824
44	acov	optimised	50	1941	1.2541448068618775	0.10293754577636718
45	acov	optimised	50	2080	1.2399430894851684	0.09009393215179444
46	acov	optimised	50	1993	1.2396776151657105	0.09836950302124023
47	acov	optimised	50	1933	1.0729218816757202	0.08516830444335938
48	acov	optimised	50	2008	1.2643588638305665	0.09895864009857178
49	acov	optimised	50	1936	1.0865953636169434	0.08352046966552734
