id	exp	type	num_rob	time	compu_time_total	compu_time_comms
15	logistics	optimised	50	1776	2.66713321685791	0.09159650325775147
16	logistics	optimised	50	2597	1.9905319833755493	0.07563663482666015
17	logistics	optimised	50	2000	1.534108681678772	0.0606800651550293
18	logistics	optimised	50	2362	1.7453538274765015	0.06804615020751953
19	logistics	optimised	50	3299	2.573998508453369	0.10328059673309326
20	logistics	optimised	50	1673	1.4392807865142823	0.05559710502624512
21	logistics	optimised	50	1829	1.397006993293762	0.05572053432464599
22	logistics	optimised	50	1583	1.2066979312896728	0.048382411003112795
23	logistics	optimised	50	1736	1.5452045106887817	0.05911227703094482
24	logistics	optimised	50	1714	1.2939673566818237	0.05145580768585205
25	logistics	optimised	50	3196	2.5420907068252565	0.10105772495269776
26	logistics	optimised	50	1915	1.4170734357833863	0.05607613563537597
27	logistics	optimised	50	2341	1.80078058719635	0.0710584592819214
28	logistics	optimised	50	2460	1.8471349906921386	0.07475370407104492
29	logistics	optimised	50	1665	1.3403001308441163	0.05238790035247803
30	logistics	optimised	50	1810	1.3510372686386107	0.05458376407623291
31	logistics	optimised	50	2171	1.7244025182723999	0.06769351959228516
32	logistics	optimised	50	2632	2.005487112998962	0.07748961925506592
33	logistics	optimised	50	1926	1.449496293067932	0.05642329216003418
34	logistics	optimised	50	2014	1.6251431035995483	0.06360779762268066
35	logistics	optimised	50	2255	1.8034682750701905	0.07085025787353516
36	logistics	optimised	50	2106	1.541539297103882	0.06100166320800781
37	logistics	optimised	50	2545	1.799778199195862	0.07217561721801757
38	logistics	optimised	50	2123	1.6144143295288087	0.0651279354095459
39	logistics	optimised	50	1861	1.245925440788269	0.04936155319213867
40	logistics	optimised	50	2132	2.2415069150924682	0.08162641525268555
41	logistics	optimised	50	2227	1.3725378799438477	0.05455955982208252
42	logistics	optimised	50	2491	1.9333774852752685	0.07873413562774659
43	logistics	optimised	50	2383	1.4919606161117553	0.06177629947662353
44	logistics	optimised	50	2086	1.4902546691894532	0.05970576286315918
45	logistics	optimised	50	2170	1.3231371116638184	0.05185334205627441
46	logistics	optimised	50	2560	1.851966757774353	0.07354838371276856
47	logistics	optimised	50	2546	1.4855859088897705	0.05838529586791992
48	logistics	optimised	50	1325	0.9558393383026123	0.0377630615234375
49	logistics	optimised	50	1936	1.2282472372055053	0.04881933689117432
0	logistics	optimised	100	2202	1.6597903561592102	0.07787476778030396
1	logistics	optimised	100	1620	1.3834875559806823	0.06502512216567993
2	logistics	optimised	100	2066	1.5608655714988708	0.07429709911346435
