num_robots,boxes,use_hm,fake_hm,counter,carry_counter
16,{'pink': 7},None,True,1067,"[876, 0, 0, 0, 0, 430, 0, 931, 0, 565, 0, 0, 0, 0, 0, 0]"
16,{'pink': 8},None,True,1239,"[0, 0, 0, 877, 0, 286, 121, 169, 0, 64, 0, 0, 1047, 0, 0, 701]"
16,{'pink': 9},None,True,1075,"[0, 0, 191, 0, 0, 0, 984, 0, 0, 0, 237, 340, 0, 0, 0, 0]"
16,{'pink': 10},None,True,903,"[0, 50, 0, 228, 445, 463, 0, 118, 302, 0, 0, 0, 237, 0, 229, 806]"
17,{'pink': 4},None,True,1617,"[0, 219, 0, 0, 1578, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 173]"
17,{'pink': 5},None,True,1596,"[189, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 337, 0, 0, 269]"
17,{'pink': 6},None,True,973,"[0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 774]"
17,{'pink': 7},None,True,1388,"[0, 192, 0, 1238, 0, 0, 0, 0, 0, 155, 140, 0, 0, 208, 0, 0, 236]"
17,{'pink': 8},None,True,1935,"[1729, 47, 245, 0, 928, 1103, 0, 0, 0, 0, 0, 0, 1487, 0, 195, 0, 0]"
17,{'pink': 9},None,True,1817,"[0, 390, 1327, 0, 0, 0, 1684, 310, 0, 0, 0, 767, 0, 348, 0, 1575, 0]"
17,{'pink': 10},None,True,488,"[197, 0, 271, 0, 0, 179, 0, 191, 260, 0, 324, 0, 0, 0, 0, 0, 0]"
18,{'pink': 4},None,True,4525,"[0, 0, 0, 0, 0, 0, 896, 0, 0, 0, 0, 2745, 0, 0, 0, 221, 0, 0]"
18,{'pink': 5},None,True,3551,"[0, 0, 0, 191, 0, 0, 0, 0, 0, 2183, 191, 0, 0, 1814, 0, 0, 0, 0]"
18,{'pink': 6},None,True,1555,"[311, 0, 0, 0, 0, 0, 0, 936, 0, 0, 0, 612, 0, 0, 359, 0, 192, 0]"
18,{'pink': 7},None,True,1626,"[0, 0, 0, 309, 0, 0, 1280, 304, 0, 303, 0, 0, 223, 0, 1459, 0, 914, 0]"
18,{'pink': 8},None,True,880,"[610, 0, 274, 0, 0, 227, 0, 355, 0, 0, 0, 266, 0, 0, 0, 256, 0, 0]"
18,{'pink': 9},None,True,1687,"[1552, 939, 295, 0, 0, 0, 0, 0, 0, 1493, 727, 0, 0, 0, 391, 0, 0, 0]"
18,{'pink': 10},None,True,1443,"[685, 162, 0, 0, 984, 0, 866, 0, 0, 821, 0, 847, 0, 0, 0, 1392, 0, 0]"
19,{'pink': 4},None,True,1708,"[857, 0, 0, 0, 369, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 311, 0, 0]"
19,{'pink': 5},None,True,3329,"[0, 0, 2703, 1035, 0, 0, 0, 243, 0, 0, 0, 1021, 0, 125, 0, 0, 0, 0, 0]"
19,{'pink': 6},None,True,1136,"[0, 0, 0, 0, 190, 0, 297, 0, 0, 192, 0, 0, 336, 0, 0, 0, 659, 0, 956]"
19,{'pink': 7},None,True,1135,"[0, 0, 0, 0, 0, 0, 637, 0, 0, 174, 362, 364, 0, 85, 33, 0, 0, 0, 0]"
19,{'pink': 8},None,True,1098,"[0, 0, 271, 0, 0, 0, 0, 0, 0, 666, 0, 155, 687, 0, 0, 0, 0, 0, 972]"
19,{'pink': 9},None,True,984,"[0, 0, 303, 119, 0, 0, 287, 686, 0, 0, 273, 0, 927, 0, 0, 0, 0, 0, 0]"
19,{'pink': 10},None,True,2072,"[340, 0, 0, 0, 1726, 1186, 1872, 0, 0, 1545, 273, 0, 1883, 0, 1014, 0, 0, 0, 326]"
20,{'pink': 4},None,True,2445,"[0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 1298, 0, 327, 1713, 0, 0, 0]"
20,{'pink': 5},None,True,1367,"[0, 216, 0, 0, 0, 829, 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 327]"
20,{'pink': 6},None,True,1191,"[221, 0, 0, 0, 0, 204, 0, 0, 0, 0, 382, 325, 0, 0, 0, 0, 0, 0, 0, 1019]"
20,{'pink': 7},None,True,1315,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 207, 1258, 108, 0, 245, 1006, 0, 424]"
20,{'pink': 8},None,True,1127,"[0, 0, 0, 41, 1070, 0, 0, 75, 0, 0, 0, 381, 928, 0, 0, 0, 0, 0, 0, 0]"
20,{'pink': 9},None,True,2469,"[2062, 1461, 1875, 0, 0, 0, 0, 1867, 298, 391, 0, 0, 0, 1903, 0, 0, 1729, 0, 0, 0]"
20,{'pink': 10},None,True,637,"[0, 0, 90, 327, 0, 0, 0, 600, 0, 0, 428, 310, 0, 0, 0, 316, 0, 0, 0, 600]"
1,{'pink': 4},fake_hm,True,17663,[1782]
1,{'pink': 5},fake_hm,True,18776,[1905]
1,{'pink': 6},fake_hm,True,10145,[1988]
1,{'pink': 7},fake_hm,True,9498,[1900]
1,{'pink': 8},fake_hm,True,7461,[1188]
1,{'pink': 9},fake_hm,True,9707,[1006]
1,{'pink': 10},fake_hm,True,13646,[1615]
2,{'pink': 4},fake_hm,True,5785,"[1357, 0]"
2,{'pink': 5},fake_hm,True,11198,"[945, 768]"
2,{'pink': 6},fake_hm,True,5624,"[746, 895]"
2,{'pink': 7},fake_hm,True,8289,"[1099, 1377]"
2,{'pink': 8},fake_hm,True,3924,"[465, 1268]"
2,{'pink': 9},fake_hm,True,2625,"[527, 919]"
2,{'pink': 10},fake_hm,True,1695,"[1099, 272]"
3,{'pink': 4},fake_hm,True,4329,"[1439, 639, 0]"
3,{'pink': 5},fake_hm,True,4746,"[0, 984, 552]"
3,{'pink': 6},fake_hm,True,4671,"[597, 568, 643]"
3,{'pink': 7},fake_hm,True,2857,"[241, 350, 539]"
3,{'pink': 8},fake_hm,True,5969,"[303, 377, 837]"
3,{'pink': 9},fake_hm,True,2500,"[1190, 78, 823]"
3,{'pink': 10},fake_hm,True,6926,"[0, 1242, 126]"
4,{'pink': 4},fake_hm,True,3082,"[336, 508, 1027, 0]"
4,{'pink': 5},fake_hm,True,5389,"[0, 0, 0, 1603]"
4,{'pink': 6},fake_hm,True,4156,"[0, 516, 1231, 836]"
4,{'pink': 7},fake_hm,True,6141,"[295, 1133, 274, 893]"
4,{'pink': 8},fake_hm,True,2451,"[419, 0, 515, 468]"
4,{'pink': 9},fake_hm,True,1858,"[1759, 0, 1265, 162]"
4,{'pink': 10},fake_hm,True,1854,"[384, 881, 1065, 126]"
5,{'pink': 4},fake_hm,True,9306,"[311, 423, 1383, 0, 0]"
5,{'pink': 5},fake_hm,True,4362,"[0, 891, 670, 944, 0]"
5,{'pink': 6},fake_hm,True,2406,"[382, 45, 273, 0, 834]"
5,{'pink': 7},fake_hm,True,1626,"[1251, 1239, 273, 1375, 374]"
5,{'pink': 8},fake_hm,True,3003,"[345, 112, 443, 243, 0]"
5,{'pink': 9},fake_hm,True,2089,"[0, 1892, 0, 136, 462]"
5,{'pink': 10},fake_hm,True,1138,"[28, 200, 1068, 83, 821]"
6,{'pink': 4},fake_hm,True,8188,"[1190, 304, 0, 878, 0, 0]"
6,{'pink': 5},fake_hm,True,2105,"[969, 244, 0, 359, 0, 275]"
6,{'pink': 6},fake_hm,True,2932,"[191, 0, 836, 168, 829, 0]"
6,{'pink': 7},fake_hm,True,3356,"[1006, 394, 163, 0, 0, 0]"
6,{'pink': 8},fake_hm,True,2901,"[0, 252, 0, 345, 310, 0]"
6,{'pink': 9},fake_hm,True,1778,"[0, 1091, 244, 1086, 935, 1179]"
6,{'pink': 10},fake_hm,True,997,"[227, 0, 0, 415, 689, 276]"
7,{'pink': 4},fake_hm,True,1817,"[897, 0, 155, 0, 168, 0, 0]"
7,{'pink': 5},fake_hm,True,2999,"[930, 0, 0, 0, 244, 1087, 215]"
7,{'pink': 6},fake_hm,True,1171,"[0, 880, 0, 0, 244, 349, 200]"
7,{'pink': 7},fake_hm,True,1675,"[1239, 199, 404, 310, 0, 0, 874]"
7,{'pink': 8},fake_hm,True,1681,"[0, 0, 322, 282, 192, 826, 321]"
7,{'pink': 9},fake_hm,True,2774,"[0, 1482, 399, 295, 0, 470, 0]"
7,{'pink': 10},fake_hm,True,2157,"[453, 0, 0, 317, 888, 272, 0]"
8,{'pink': 4},fake_hm,True,2680,"[412, 300, 0, 0, 263, 1257, 0, 0]"
8,{'pink': 5},fake_hm,True,1909,"[193, 202, 0, 0, 1569, 0, 0, 0]"
8,{'pink': 6},fake_hm,True,2912,"[0, 347, 0, 0, 324, 0, 526, 505]"
8,{'pink': 7},fake_hm,True,2737,"[564, 423, 196, 0, 0, 1268, 0, 0]"
8,{'pink': 8},fake_hm,True,1556,"[0, 125, 0, 680, 312, 0, 875, 0]"
8,{'pink': 9},fake_hm,True,1371,"[0, 1086, 0, 981, 0, 85, 517, 269]"
8,{'pink': 10},fake_hm,True,1083,"[162, 0, 243, 0, 269, 57, 0, 514]"
9,{'pink': 4},fake_hm,True,2798,"[0, 740, 0, 0, 1949, 0, 0, 916, 0]"
9,{'pink': 5},fake_hm,True,1942,"[0, 0, 0, 0, 0, 162, 715, 137, 1012]"
